headline,byline,keyword,Source,Source Type
Simon Fraser University in British Columbia is applying for U Sports membership after 15 years competing against NCAA schools.,Canada’s Simon Fraser University applies for U Sports membership after 15 years of NCAA competition,sustainability,AP News,News
The St. Louis Blues will be without the services of another forward for an extended period of time. Nathan Walker is expected to miss at least eight weeks with what the team called an upper-body injury.,Blues say Walker is out long term and trade Alexandrov to the Kings for Thomas,sustainability,AP News,News
Manchester City midfielder Rodri has been forced off with a suspected hamstring injury in the first half of the team’s Premier League match at Brentford.,Man City star Rodri sustains suspected hamstring problem in latest injury issue for Spain midfielder,sustainability,AP News,News
"Barcelona says midfielder Fermín López will be sidelined for two weeks with a leg injury. If that time estimate holds up, Fermín will miss four games, including a La Liga match against Atletico Madrid next week and a Champions League clash with Eintracht Frankfurt on Dec. 9.",Barcelona midfielder Fermín López out for 2 weeks with leg injury,sustainability,AP News,News
Power plants and industrial facilities that emit planet-warming carbon dioxide are hopeful that Congress will keep tax credits for capturing the gas and storing it deep underground.,How carbon capture works and the debate about whether it’s a future climate solution,sustainability,AP News,News
The Pittsburgh Steelers have placed left tackle Broderick Jones on injured reserve. Jones sustained a neck injury in the fourth quarter of last week’s loss to the Chicago Bears.,"Steelers place left tackle Broderick Jones on injured reserve, elevate cornerback Asante Samuel Jr.",sustainability,AP News,News
"Just a day after Germany was picked to host the 2029 European Championship in women’s soccer, its top clubs split with the national soccer federation over how to run the women’s league.",German clubs set up their own women’s league grouping in split with soccer federation,sustainability,AP News,News
The most comprehensive global environment assessment ever undertaken calls for a new approach to jointly tackle the most pressing environmental issues including climate change and biodiversity loss that threaten over 1 million plant and animal species with extinction.,"UN says world must jointly tackle issues of climate change, pollution, biodiversity and land loss",sustainability,AP News,News
Real Madrid defender Éder Militão has sustained an injury to his right leg while playing for Brazil.,Real Madrid defender Éder Militão suffers leg injury on Brazil duty,sustainability,AP News,News
Cleveland Guardians designated hitter David Fry is recovering after being hit in the face by a pitch from Detroit’s Tarik Skubal.,"David Fry recovering after sustaining broken nose, facial fractures after being hit in face by pitch",sustainability,AP News,News
"Don’t let your Halloween pumpkin haunt the landfill this November. Experts tell us your pumpkins can be eaten, composted or even fed to animals. (AP Video: David R.","Don’t toss your Halloween pumpkin – bake, compost, or feed it to farm animals instead",sustainability,AP News,News
